Linux 6.19.10+deb14-amd64 (cluster-userspace-host) 	04/27/26 	_x86_64_	(16 CPU)

10:22:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:22:21     all    4.78    0.00    3.21    0.06    0.00    0.69    0.00   30.55    0.00   60.72
10:22:22     all    3.85    0.00    2.90    0.00    0.00    0.38    0.00   20.43    0.00   72.45
10:22:23     all    3.91    0.00    2.77    0.00    0.00    0.69    0.00   25.16    0.00   67.47
10:22:24     all    4.85    0.00    3.47    0.00    0.00    0.63    0.00   31.76    0.00   59.23
10:22:25     all    2.58    0.00    3.02    0.00    0.00    0.38    0.00   17.40    0.00   76.57
10:22:26     all    5.08    0.00    3.26    0.00    0.00    0.82    0.00   36.26    0.00   54.45
10:22:27     all    4.59    0.00    3.52    0.00    0.00    0.88    0.00   34.72    0.00   56.23
10:22:28     all    6.19    0.00    3.86    0.00    0.00    0.76    0.00   36.66    0.00   52.53
10:22:29     all    5.58    0.00    3.13    0.00    0.00    0.81    0.00   36.65    0.00   53.82
10:22:30     all    5.46    0.00    3.64    0.00    0.00    0.69    0.00   34.59    0.00   55.56
10:22:31     all    4.95    0.00    3.45    0.00    0.00    0.50    0.00   33.96    0.00   57.14
10:22:32     all    4.54    0.00    2.96    0.00    0.00    0.82    0.00   32.20    0.00   59.48
10:22:33     all    4.61    0.00    3.09    0.00    0.00    0.38    0.00   33.63    0.00   58.17
10:22:34     all    3.54    0.00    2.84    0.00    0.00    0.32    0.00   22.05    0.00   71.26
10:22:35     all    5.56    0.00    3.54    0.00    0.00    0.76    0.00   35.52    0.00   54.55
10:22:36     all    5.86    0.00    3.59    0.00    0.00    0.69    0.00   37.93    0.00   51.92
10:22:37     all    5.80    0.00    3.34    0.00    0.00    0.95    0.00   33.56    0.00   56.34
10:22:38     all    5.67    0.00    3.91    0.00    0.00    0.69    0.00   36.23    0.00   53.50
10:22:39     all    5.29    0.00    3.40    0.00    0.00    1.01    0.00   38.69    0.00   51.54
10:22:40     all    5.21    0.00    3.26    0.00    0.00    0.63    0.00   34.00    0.00   56.90
10:22:41     all    5.04    0.00    3.51    0.00    0.00    0.64    0.00   30.17    0.00   60.65
10:22:42     all    5.72    0.00    3.52    0.06    0.00    0.75    0.00   35.51    0.00   54.43
10:22:43     all    2.21    0.00    2.08    0.00    0.00    0.63    0.00   10.98    0.00   84.09
10:22:44     all    5.65    0.00    3.01    0.00    0.00    0.69    0.00   36.07    0.00   54.52
10:22:45     all    5.09    0.00    3.71    0.00    0.00    0.69    0.00   36.71    0.00   53.61
10:22:46     all    5.47    0.00    3.44    0.00    0.00    0.57    0.00   35.50    0.00   54.90
10:22:47     all    5.63    0.00    3.32    0.00    0.00    0.56    0.00   31.54    0.00   58.89
10:22:48     all    5.37    0.00    3.79    0.00    0.00    0.69    0.00   35.48    0.00   54.61
10:22:49     all    5.68    0.00    3.09    0.00    0.00    0.44    0.00   36.59    0.00   54.07
10:22:50     all    5.65    0.00    3.70    0.00    0.00    0.75    0.00   34.97    0.00   54.93
10:22:51     all    5.09    0.00    3.08    0.00    0.00    0.63    0.00   36.43    0.00   54.65
10:22:52     all    3.07    0.00    2.94    0.00    0.00    0.56    0.00   18.97    0.00   74.45
10:22:53     all    4.09    0.00    2.68    0.00    0.00    0.57    0.00   22.99    0.00   69.67
10:22:54     all    5.64    0.00    3.45    0.00    0.00    0.63    0.00   35.99    0.00   54.29
10:22:55     all    5.75    0.00    3.13    0.00    0.00    0.63    0.00   35.15    0.00   55.28
10:22:56     all    6.20    0.00    3.25    0.06    0.00    0.88    0.00   36.05    0.00   53.57
10:22:57     all    3.90    0.00    2.89    0.00    0.00    0.50    0.00   30.14    0.00   62.49
10:22:58     all    4.49    0.00    2.72    0.00    0.00    0.63    0.00   25.24    0.00   66.92
10:22:59     all    5.86    0.00    3.40    0.00    0.00    0.88    0.00   35.79    0.00   54.06
10:23:00     all    5.17    0.00    2.71    0.00    0.00    0.44    0.00   32.66    0.00   58.83
10:23:01     all    4.36    0.00    2.65    0.00    0.00    0.44    0.00   26.15    0.00   66.39
10:23:02     all    5.72    0.00    3.71    0.00    0.00    1.19    0.00   35.24    0.00   54.08
10:23:03     all    5.17    0.00    2.58    0.00    0.00    0.69    0.00   37.18    0.00   54.19
10:23:04     all    5.95    0.00    3.61    0.00    0.00    0.63    0.00   34.98    0.00   54.84
10:23:05     all    5.81    0.00    3.06    0.06    0.00    0.94    0.00   35.75    0.00   54.31
10:23:06     all    6.40    0.00    3.42    0.00    0.00    0.44    0.00   36.31    0.00   53.36
10:23:07     all    4.29    0.00    2.96    0.00    0.00    0.63    0.00   27.81    0.00   64.31
10:23:08     all    5.66    0.00    3.65    0.00    0.00    0.63    0.00   34.21    0.00   55.85
10:23:09     all    2.76    0.00    2.70    0.00    0.00    0.50    0.00   22.33    0.00   71.64
10:23:10     all    3.64    0.00    2.69    0.00    0.00    0.38    0.00   21.23    0.00   72.06
10:23:11     all    2.60    0.00    2.73    0.00    0.00    0.13    0.00   12.76    0.00   81.78
10:23:12     all    5.81    0.00    3.16    0.00    0.00    0.69    0.00   37.37    0.00   52.90
10:23:13     all    5.36    0.00    3.37    0.00    0.00    0.87    0.00   34.93    0.00   55.33
10:23:14     all    3.24    0.00    2.92    0.00    0.00    0.44    0.00   16.76    0.00   76.63
10:23:15     all    3.33    0.00    2.45    0.00    0.00    0.44    0.00   26.57    0.00   67.15
10:23:16     all    5.85    0.00    2.89    0.00    0.00    0.76    0.00   34.55    0.00   55.88
10:23:17     all    4.88    0.00    2.60    0.00    0.00    0.57    0.00   33.90    0.00   57.98
10:23:18     all    5.47    0.00    3.21    0.00    0.00    0.57    0.00   34.72    0.00   56.04
10:23:19     all    4.12    0.00    3.43    0.00    0.00    0.69    0.00   23.16    0.00   68.60
10:23:20     all    2.75    0.00    2.49    0.00    0.00    0.32    0.00   20.01    0.00   74.42
Average:     all    4.87    0.00    3.17    0.00    0.00    0.64    0.00   31.04    0.00   60.29
