Linux 6.19.10+deb14-amd64 (cluster-userspace-host) 	04/27/26 	_x86_64_	(16 CPU)

10:18:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:18:11     all    3.03    0.00    3.28    0.00    0.00    0.44    0.00   13.83    0.00   79.42
10:18:12     all    2.80    0.00    3.18    0.00    0.00    0.13    0.00   14.56    0.00   79.34
10:18:13     all    2.56    0.00    2.62    0.00    0.00    0.26    0.00   16.58    0.00   77.98
10:18:14     all    2.79    0.00    2.92    0.00    0.00    0.19    0.00   16.80    0.00   77.30
10:18:15     all    2.68    0.00    3.51    0.00    0.00    0.19    0.00   17.59    0.00   76.04
10:18:16     all    1.20    0.00    2.34    0.00    0.00    0.25    0.00   13.40    0.00   82.68
10:18:17     all    2.28    0.00    2.91    0.00    0.00    0.25    0.00   16.32    0.00   78.24
10:18:18     all    2.59    0.00    2.97    0.00    0.00    0.00    0.00   14.66    0.00   79.77
10:18:19     all    2.30    0.00    3.46    0.00    0.00    0.45    0.00   20.36    0.00   73.37
10:18:20     all    2.44    0.00    2.82    0.00    0.00    0.19    0.00   19.87    0.00   74.68
10:18:21     all    2.96    0.00    2.57    0.00    0.00    0.32    0.00   18.77    0.00   75.39
10:18:22     all    1.21    0.00    2.68    0.00    0.00    0.32    0.00   17.79    0.00   77.93
10:18:23     all    3.26    0.00    2.39    0.00    0.00    0.13    0.00   15.57    0.00   78.66
10:18:24     all    2.45    0.00    3.08    0.00    0.00    0.19    0.00   18.57    0.00   75.65
10:18:25     all    2.90    0.00    3.03    0.00    0.00    0.13    0.00   17.42    0.00   76.52
10:18:26     all    2.38    0.00    3.32    0.00    0.00    0.19    0.00   18.79    0.00   75.27
10:18:27     all    2.71    0.00    3.09    0.00    0.00    0.19    0.00   16.45    0.00   77.57
10:18:28     all    0.90    0.00    1.92    0.00    0.00    0.32    0.00   13.62    0.00   83.12
10:18:29     all    3.30    0.00    2.86    0.00    0.00    0.06    0.00   19.37    0.00   74.41
10:18:30     all    3.27    0.00    3.40    0.00    0.00    0.69    0.00   23.46    0.00   69.12
10:18:31     all    2.97    0.00    2.65    0.00    0.00    0.25    0.00   19.82    0.00   74.24
10:18:32     all    2.97    0.00    3.03    0.00    0.00    0.19    0.00   19.43    0.00   74.32
10:18:33     all    2.60    0.00    2.66    0.00    0.00    0.06    0.00   17.45    0.00   77.22
10:18:34     all    2.94    0.00    2.44    0.00    0.00    0.50    0.00   23.81    0.00   70.18
10:18:35     all    3.32    0.00    3.38    0.00    0.00    0.38    0.00   23.47    0.00   69.46
10:18:36     all    3.93    0.00    2.87    0.00    0.00    0.50    0.00   23.91    0.00   68.79
10:18:37     all    3.24    0.00    2.79    0.00    0.00    0.32    0.00   19.67    0.00   73.98
10:18:38     all    3.47    0.00    2.84    0.06    0.00    0.38    0.00   23.39    0.00   69.80
10:18:39     all    3.28    0.00    3.28    0.00    0.00    0.25    0.00   19.66    0.00   73.53
10:18:40     all    2.87    0.00    2.36    0.00    0.00    0.51    0.00   17.32    0.00   76.94
10:18:41     all    2.98    0.00    2.85    0.00    0.00    0.44    0.00   19.90    0.00   73.83
10:18:42     all    4.30    0.00    3.16    0.00    0.00    0.19    0.00   21.86    0.00   70.50
10:18:43     all    2.51    0.00    2.69    0.00    0.00    0.13    0.00   17.79    0.00   76.88
10:18:44     all    2.90    0.00    2.21    0.00    0.00    0.32    0.00   20.63    0.00   73.94
10:18:45     all    3.04    0.00    3.23    0.00    0.00    0.51    0.00   24.67    0.00   68.55
10:18:46     all    3.37    0.00    3.49    0.00    0.00    0.25    0.00   24.83    0.00   67.94
10:18:47     all    2.03    0.00    1.84    0.00    0.00    0.51    0.00   21.40    0.00   74.10
10:18:48     all    3.75    0.00    3.25    0.00    0.00    0.38    0.00   22.88    0.00   69.75
10:18:49     all    3.39    0.00    2.51    0.00    0.00    0.38    0.00   16.44    0.00   77.29
10:18:50     all    3.30    0.00    2.92    0.00    0.00    0.44    0.00   20.01    0.00   73.32
10:18:51     all    3.22    0.00    2.90    0.00    0.00    0.25    0.00   24.16    0.00   69.46
10:18:52     all    2.47    0.00    2.28    0.00    0.00    0.25    0.00   13.39    0.00   81.60
10:18:53     all    2.76    0.00    2.57    0.00    0.00    0.44    0.00   20.26    0.00   73.90
10:18:54     all    1.97    0.00    2.54    0.00    0.00    0.25    0.00   18.31    0.00   76.80
10:18:55     all    2.88    0.00    2.81    0.00    0.00    0.44    0.00   22.88    0.00   71.00
10:18:56     all    2.65    0.00    3.03    0.00    0.00    0.32    0.00   14.66    0.00   79.34
10:18:57     all    2.90    0.00    3.15    0.00    0.00    0.13    0.00   14.01    0.00   79.81
10:18:58     all    4.17    0.00    2.34    0.00    0.00    0.32    0.00   23.96    0.00   69.22
10:18:59     all    2.52    0.00    1.95    0.00    0.00    0.31    0.00   20.15    0.00   75.06
10:19:00     all    2.93    0.00    2.04    0.00    0.00    0.19    0.00   14.50    0.00   80.34
10:19:01     all    2.34    0.00    2.72    0.00    0.00    0.38    0.00   13.72    0.00   80.85
10:19:02     all    3.18    0.00    2.80    0.00    0.00    0.13    0.00   17.23    0.00   76.61
10:19:03     all    3.40    0.00    2.77    0.00    0.00    0.63    0.00   21.02    0.00   72.18
10:19:04     all    3.59    0.00    2.71    0.00    0.00    0.38    0.00   24.42    0.00   68.91
10:19:05     all    2.30    0.00    2.43    0.00    0.00    0.06    0.00   16.36    0.00   78.79
10:19:06     all    2.49    0.00    2.49    0.00    0.00    0.38    0.00   14.36    0.00   80.28
10:19:07     all    2.84    0.00    2.65    0.00    0.00    0.25    0.00   21.34    0.00   72.92
10:19:08     all    4.25    0.00    2.54    0.00    0.00    0.32    0.00   19.43    0.00   73.46
10:19:09     all    3.40    0.00    2.77    0.00    0.00    0.57    0.00   20.14    0.00   73.13
10:19:10     all    3.62    0.00    3.24    0.00    0.00    0.25    0.00   20.11    0.00   72.78
Average:     all    2.89    0.00    2.79    0.00    0.00    0.30    0.00   18.95    0.00   75.07
