Linux 6.19.10+deb14-amd64 (cluster-userspace-host) 	04/27/26 	_x86_64_	(16 CPU)

10:24:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:24:04     all    4.55    0.00    2.46    0.00    0.00    4.48    0.00   40.28    0.00   48.23
10:24:05     all    4.58    0.00    2.82    0.00    0.00    5.52    0.00   40.13    0.00   46.96
10:24:06     all    5.17    0.00    2.71    0.00    0.00    5.55    0.00   39.76    0.00   46.82
10:24:07     all    1.39    0.00    2.20    0.00    0.00    4.79    0.00   40.55    0.00   51.07
10:24:08     all    5.21    0.00    2.57    0.00    0.00    5.52    0.00   40.18    0.00   46.45
10:24:09     all    6.24    0.00    3.06    0.06    0.00    5.49    0.00   39.95    0.00   45.13
10:24:10     all    3.37    0.00    2.37    0.00    0.00    4.99    0.00   40.27    0.00   49.00
10:24:11     all    5.19    0.00    2.63    0.00    0.00    5.19    0.00   41.43    0.00   45.56
10:24:12     all    5.32    0.00    2.88    0.00    0.00    5.57    0.00   40.51    0.00   45.65
10:24:13     all    5.87    0.00    3.03    0.00    0.00    4.86    0.00   38.70    0.00   47.47
10:24:14     all    2.92    0.00    2.60    0.00    0.00    4.50    0.00   39.99    0.00   50.00
10:24:15     all    5.14    0.00    2.76    0.00    0.00    5.76    0.00   41.04    0.00   45.24
10:24:16     all    4.09    0.00    2.39    0.00    0.00    4.91    0.00   39.58    0.00   49.02
10:24:17     all    5.43    0.00    2.97    0.00    0.00    4.93    0.00   40.81    0.00   45.80
10:24:18     all    2.32    0.00    2.45    0.00    0.00    3.83    0.00   41.58    0.00   49.75
10:24:19     all    5.78    0.00    2.89    0.00    0.00    5.15    0.00   40.29    0.00   45.88
10:24:20     all    5.71    0.00    3.20    0.00    0.00    5.59    0.00   40.24    0.00   45.26
10:24:21     all    4.53    0.00    2.64    0.00    0.00    4.41    0.00   40.74    0.00   47.42
10:24:22     all    4.76    0.00    2.82    0.00    0.00    4.45    0.00   40.50    0.00   47.46
10:24:23     all    2.08    0.00    1.83    0.00    0.00    4.42    0.00   39.58    0.00   52.02
10:24:24     all    3.69    0.00    2.25    0.00    0.00    5.31    0.00   39.23    0.00   49.47
10:24:25     all    3.01    0.00    2.51    0.06    0.00    5.14    0.00   40.23    0.00   49.00
10:24:26     all    4.73    0.00    2.84    0.00    0.00    4.29    0.00   41.32    0.00   46.81
10:24:27     all    1.33    0.00    1.65    0.00    0.00    4.12    0.00   39.97    0.00   52.92
10:24:28     all    5.41    0.00    2.08    0.06    0.00    5.66    0.00   40.69    0.00   46.10
10:24:29     all    6.17    0.00    2.93    0.00    0.00    6.17    0.00   39.94    0.00   44.80
10:24:30     all    1.45    0.00    1.83    0.00    0.00    4.86    0.00   40.87    0.00   50.98
10:24:31     all    4.28    0.00    2.39    0.00    0.00    5.04    0.00   41.84    0.00   46.44
10:24:32     all    4.94    0.00    2.44    0.00    0.00    5.62    0.00   40.94    0.00   45.94
10:24:33     all    5.48    0.00    2.71    0.06    0.00    5.29    0.00   39.00    0.00   47.32
10:24:34     all    6.17    0.00    2.90    0.00    0.00    5.29    0.00   40.37    0.00   45.21
10:24:35     all    5.15    0.00    3.20    0.00    0.00    4.84    0.00   40.70    0.00   46.04
10:24:36     all    3.46    0.00    2.39    0.00    0.00    5.48    0.00   40.72    0.00   47.95
10:24:37     all    5.21    0.00    2.07    0.00    0.00    5.46    0.00   39.45    0.00   47.74
10:24:38     all    4.83    0.00    2.35    0.00    0.00    4.76    0.00   39.75    0.00   48.32
10:24:39     all    3.11    0.00    1.71    0.00    0.00    4.95    0.00   40.00    0.00   50.22
10:24:40     all    4.75    0.00    2.75    0.00    0.00    5.38    0.00   40.12    0.00   46.94
10:24:41     all    2.40    0.00    2.46    0.00    0.00    5.18    0.00   41.41    0.00   48.55
10:24:42     all    5.35    0.00    2.58    0.00    0.00    4.59    0.00   41.19    0.00   46.23
10:24:43     all    5.04    0.00    2.52    0.00    0.00    5.35    0.00   40.05    0.00   47.04
10:24:44     all    4.57    0.00    2.13    0.00    0.00    4.94    0.00   40.55    0.00   47.75
10:24:45     all    5.27    0.00    3.64    0.00    0.00    5.14    0.00   40.69    0.00   45.27
10:24:46     all    5.55    0.00    2.33    0.00    0.00    4.98    0.00   40.88    0.00   46.18
10:24:47     all    5.30    0.00    2.84    0.00    0.00    4.92    0.00   40.25    0.00   46.62
10:24:48     all    4.25    0.00    2.88    0.00    0.00    5.25    0.00   41.00    0.00   46.44
10:24:49     all    6.06    0.00    2.37    0.00    0.00    5.87    0.00   38.41    0.00   47.28
10:24:50     all    3.45    0.00    2.13    0.00    0.00    5.33    0.00   39.27    0.00   49.62
10:24:51     all    5.29    0.00    2.27    0.00    0.00    5.73    0.00   39.82    0.00   46.88
10:24:52     all    2.52    0.00    1.45    0.00    0.00    5.03    0.00   39.87    0.00   51.13
10:24:53     all    4.61    0.00    1.77    0.00    0.00    4.92    0.00   39.87    0.00   48.64
10:24:54     all    5.29    0.00    2.80    0.00    0.00    4.79    0.00   38.36    0.00   48.69
10:24:55     all    6.01    0.00    2.34    0.00    0.00    5.25    0.00   39.32    0.00   47.09
10:24:56     all    5.50    0.00    2.34    0.00    0.00    5.69    0.00   39.82    0.00   46.59
10:24:57     all    5.70    0.00    2.41    0.06    0.00    4.69    0.00   39.54    0.00   47.47
10:24:58     all    4.97    0.00    2.83    0.00    0.00    5.10    0.00   41.10    0.00   45.94
10:24:59     all    5.06    0.00    2.47    0.00    0.00    4.80    0.00   40.58    0.00   47.03
10:25:00     all    5.62    0.00    2.65    0.00    0.00    5.37    0.00   40.05    0.00   46.24
10:25:01     all    5.76    0.00    2.82    0.00    0.00    6.07    0.00   39.89    0.00   45.34
10:25:02     all    4.35    0.00    1.95    0.00    0.00    5.35    0.00   39.04    0.00   49.31
10:25:03     all    4.66    0.00    2.33    0.00    0.00    5.22    0.00   39.40    0.00   48.27
Average:     all    4.59    0.00    2.51    0.01    0.00    5.12    0.00   40.21    0.00   47.55
